Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
ADEFOVIR DIPIVOXIL ,ADEFOVIR DIPIVOXIL ,1034,6755,8593.1,6912813.11,973,  ,4501,6036.9,4923419.08,  ,671,N ,N ,N ,N 
ADEMPAS ,RIOCIGUAT ,896,14188,14218.5,114373947.39,1947,  ,10309,10337.5,83365387.35,  ,1413,N ,N ,N ,N 
ADOXA ,DOXYCYCLINE MONOHYDRATE ,,16,16,28166.98,,# ,,,,# ,,N ,Y ,N ,N 
ADRENALIN ,EPINEPHRINE ,106,150,150,900.85,134,  ,109,109,533.53,  ,97,N ,N ,N ,N 
ADRUCIL ,FLUOROURACIL ,35,149,149,6138.02,46,# ,,,,# ,,N ,N ,N ,N 
ADVAIR DISKUS ,FLUTICASONE/SALMETEROL ,279240,5648488,7224091.6,2269702454.80,1321303,  ,4445379,5811821.5,1808635685.70,  ,1044396,N ,N ,N ,N 
ADVAIR HFA ,FLUTICASONE/SALMETEROL ,65806,397807,496179.1,162042385.49,111392,  ,300652,382064.3,123816724.04,  ,84733,N ,N ,N ,N 
ADVANCED DNA MEDICATED COLLECT ,LIDOCAINE HCL/GLYCERIN ,,16,16,10731.88,15,* ,,,,* ,,N ,N ,N ,N 
ADVICOR ,NIACIN/LOVASTATIN ,3047,13012,26025.8,6240331.74,2976,  ,12462,25246.3,6047065.65,  ,2880,N ,N ,N ,N 
ADVOCATE PEN NEEDLES ,"PEN NEEDLE, DIABETIC ",1179,3592,6139.9,220489.52,1292,  ,2197,3927.4,136495.74,  ,828,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.3 ML ",328,1111,1743.1,47999.14,454,  ,834,1278.4,34150.98,  ,336,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.5 ML ",643,2649,3655.9,108176.02,863,  ,1758,2513.7,71339.46,  ,583,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRINGE AND NEEDLE,INSULIN,1ML ",645,2260,3254.7,101125.46,776,  ,1360,2078.3,60695.57,  ,489,N ,N ,N ,N 
AEROSPAN ,FLUNISOLIDE ,1147,2798,3513.6,568180.07,1391,  ,2202,2834.5,456364.88,  ,1089,N ,N ,N ,N 
AFEDITAB CR ,NIFEDIPINE ,11950,52750,73059.1,1688373.68,14368,  ,42770,60703.4,1340444.57,  ,11630,N ,N ,N ,N 
AFINITOR ,EVEROLIMUS ,5088,35953,36602.9,393707412.68,7658,  ,27415,27940.7,298870849.73,  ,6042,N ,N ,N ,N 
AFINITOR DISPERZ ,EVEROLIMUS ,24,64,64,961772.45,22,# ,,,,# ,,N ,N ,N ,N 
AFREZZA ,"INSULIN REGULAR, HUMAN ",728,2581,3110.7,1044166.20,947,  ,1875,2280.6,745910.18,  ,687,N ,N ,N ,N 
AGGRENOX ,ASPIRIN/DIPYRIDAMOLE ,72463,503958,669300,234241803.93,101397,  ,451712,604866.1,211052924.40,  ,91561,N ,N ,N ,N 
AGRYLIN ,ANAGRELIDE HCL ,462,910,1276.6,816809.52,471,  ,838,1193.3,751769.35,  ,437,N ,N ,N ,N 
AK-POLY-BAC ,BACITRACIN/POLYMYXIN B SULFATE ,3134,7048,7086.6,130880.15,4981,  ,5947,5983.4,109965.41,  ,4277,N ,N ,N ,N 
AKNE-MYCIN ,ERYTHROMYCIN BASE ,15,15,15,1910.51,15,# ,,,,# ,,N ,N ,N ,N 
AKTEN ,LIDOCAINE HCL/PF ,32,46,46,5619.53,36,# ,,,,# ,,N ,N ,N ,N 
AKYNZEO ,NETUPITANT/PALONOSETRON HCL ,114,479,479.8,339150.41,174,  ,376,376,268964.28,  ,140,N ,N ,N ,N 
ALA-CORT ,HYDROCORTISONE ,16,24,24,862.70,22,# ,,,,# ,,N ,N ,N ,N 
ALA-SCALP ,HYDROCORTISONE ,86,99,101,33399.61,86,  ,83,85,28762.64,  ,70,N ,N ,N ,N 
ALBENZA ,ALBENDAZOLE ,5366,7215,7261.4,10138566.36,5546,  ,4522,4551.5,5447853.55,  ,3562,N ,N ,N ,N 
ALBUMIN (HUMAN) ,ALBUMIN HUMAN ,,273,273,35665.30,18,  ,239,239,31421.20,# ,,N ,N ,N ,N 
ALBUTEIN ,ALBUMIN HUMAN ,14,126,126,33058.76,19,  ,72,72,15607.00,# ,,N ,N ,N ,N 
ALBUTEROL SULFATE ,ALBUTEROL SULFATE ,65761,746361,778894,30898289.20,244959,  ,624428,651847,23819119.11,  ,210377,N ,N ,N ,N 
ALCLOMETASONE DIPROPIONATE ,ALCLOMETASONE DIPROPIONATE ,9519,39019,40181.7,2405019.26,26598,  ,33596,34673.8,2047386.36,  ,23513,N ,N ,N ,N 
ALCOHOL PADS ,ALCOHOL ANTISEPTIC PADS ,29409,197928,278920,6878438.33,62905,  ,146588,209232.8,4961641.97,  ,47385,N ,N ,N ,N 
ALCOHOL PREP PADS ,ALCOHOL ANTISEPTIC PADS ,75503,448755,848583.5,20777275.93,170161,  ,331729,622174.4,14603251.01,  ,122792,N ,N ,N ,N 
ALCOHOL PREP SWABS ,ALCOHOL ANTISEPTIC PADS ,936,3718,4162.8,18820.83,1114,  ,2794,3102,15676.07,  ,781,N ,N ,N ,N 
ALCOHOL SWAB ,ALCOHOL ANTISEPTIC PADS ,3198,13006,16284.4,44090.61,4457,  ,8550,11040.9,29528.39,  ,2988,N ,N ,N ,N 
ALCOHOL SWABS ,ALCOHOL ANTISEPTIC PADS ,22149,74036,111505,231281.07,34716,  ,48424,74796.4,148897.07,  ,23048,N ,N ,N ,N 
ALCOHOL WIPES ,ALCOHOL ANTISEPTIC PADS ,759,3524,4084.9,13485.86,1080,  ,2623,3031.2,9990.88,  ,784,N ,N ,N ,N 
ALDACTAZIDE ,SPIRONOLACT/HYDROCHLOROTHIAZID ,743,2525,4445.8,362953.25,715,  ,2328,4182.8,339909.41,  ,655,N ,N ,N ,N 
ALDACTONE ,SPIRONOLACTONE ,874,3264,5442.2,483565.23,806,  ,2973,4960.4,424774.81,  ,723,N ,N ,N ,N 
ALDARA ,IMIQUIMOD ,115,184,208.3,186893.74,116,  ,144,165.5,150662.12,  ,87,N ,N ,N ,N 
ALDURAZYME ,LARONIDASE ,,79,79,3142455.62,,  ,,,0.00,  ,,N ,N ,N ,N 
ALECENSA ,ALECTINIB HYDROCHLORIDE ,11,11,11,129978.49,11,* ,,,,* ,,N ,N ,N ,N 
ALENDRONATE SODIUM ,ALENDRONATE SODIUM ,255925,7643964,12558930.1,66684372.07,1623225,  ,6946056,11626365.8,61274117.79,  ,1496438,N ,N ,N ,N 
ALFUZOSIN HCL ER ,ALFUZOSIN HCL ,47530,532099,979474.8,11724070.15,123054,  ,492260,922430.5,11002493.52,  ,114386,N ,N ,N ,N 
ALIMTA ,PEMETREXED DISODIUM ,188,1452,1463.2,7135762.82,301,  ,1309,1320.2,6397654.52,  ,265,N ,N ,N ,N 
ALINIA ,NITAZOXANIDE ,2712,6236,6302.1,4204328.24,4739,  ,4308,4341.5,2499848.77,  ,3561,N ,N ,N ,N 
ALKERAN ,MELPHALAN ,157,434,459.6,128004.60,134,  ,422,446,122339.42,# ,,N ,N ,N ,N 
ALLEGRA ,FEXOFENADINE HCL ,,16,16,976.85,,  ,,,0.00,  ,,N ,N ,N ,N 
ALLEGRA-D 24 HOUR ,FEXOFENADINE/PSEUDOEPHEDRINE ,12,15,15,1491.60,12,* ,,,,* ,,N ,N ,N ,N 
ALLOPURINOL ,ALLOPURINOL ,292115,8412845,15261746.2,138390484.34,1695767,  ,7375316,13723406.4,123681620.16,  ,1506691,N ,N ,N ,N 
ALMOTRIPTAN MALATE ,ALMOTRIPTAN MALATE ,758,1657,1867.4,681689.41,739,  ,827,985.2,352547.35,  ,417,N ,N ,N ,N 
ALOCRIL ,NEDOCROMIL SODIUM ,1474,4150,4562.5,804448.59,2000,  ,3563,3931.7,697802.81,  ,1759,N ,N ,N ,N 
ALOMIDE ,LODOXAMIDE TROMETHAMINE ,392,949,1261.1,160102.78,436,  ,751,1052.8,131758.09,  ,363,N ,N ,N ,N 
ALORA ,ESTRADIOL ,2314,8283,11670.4,874385.65,2194,  ,5998,9033.2,679084.45,  ,1593,N ,N ,Y ,N 
ALOSETRON HCL ,ALOSETRON HCL ,1020,3338,3956.9,5623331.74,1258,  ,2331,2899.2,3896835.83,  ,908,N ,N ,N ,N 
ALOXI ,PALONOSETRON HCL ,224,2795,2810.1,2298867.94,727,  ,2339,2351.9,1913528.58,  ,603,N ,N ,N ,N 
ALPHAGAN P ,BRIMONIDINE TARTRATE ,45916,906761,1244839.2,169574294.02,209995,  ,842721,1163774.7,158486019.07,  ,195401,N ,N ,N ,N 
ALPRAZOLAM ,ALPRAZOLAM ,380350,14535373,15886456,103023812.83,2682550,  ,9410571,10571706.5,63139523.39,  ,1965086,N ,N ,N ,N 
ALPRAZOLAM ER ,ALPRAZOLAM ,10298,57591,64389.4,1741473.81,11832,  ,27696,32468.6,761817.99,  ,6351,N ,N ,N ,N 
ALPRAZOLAM INTENSOL ,ALPRAZOLAM ,348,797,823.3,97019.06,319,  ,538,553.3,51982.39,  ,258,N ,N ,N ,N 
ALPRAZOLAM ODT ,ALPRAZOLAM ,2724,7381,8255.9,715568.19,2809,  ,4291,4978.9,361993.90,  ,1913,N ,N ,N ,N 
ALPRAZOLAM XR ,ALPRAZOLAM ,4010,15732,19910.1,515432.09,4165,  ,8282,11658.3,260226.60,  ,2332,N ,N ,N ,N 
ALPROSTADIL ,ALPROSTADIL ,14,49,50.7,6661.35,26,# ,,,,# ,,N ,N ,N ,N 
ALREX ,LOTEPREDNOL ETABONATE ,13068,58712,67350.7,13722630.31,28228,  ,52801,60696.3,12313242.86,  ,25563,N ,N ,N ,N 
ALTABAX ,RETAPAMULIN ,1202,2148,2222.2,482034.51,1419,  ,1556,1609.7,322906.74,  ,1108,N ,N ,N ,N 
ALTACE ,RAMIPRIL ,2427,11095,19599.8,3064931.61,2185,  ,10365,18510.8,2872718.89,  ,2058,N ,N ,N ,N 
ALTAVERA ,LEVONORGESTREL-ETHIN ESTRADIOL ,470,2182,2962.6,53634.24,424,  ,19,24.5,437.25,* ,,N ,N ,N ,N 
ALTOPREV ,LOVASTATIN ,936,3410,6409.6,3121232.04,888,  ,3125,6021.6,2921102.49,  ,811,N ,N ,N ,N 
ALVESCO ,CICLESONIDE ,4168,21755,29996.2,7447210.15,5596,  ,18914,26546.5,6591865.80,  ,4878,N ,N ,N ,N 
ALYACEN ,NORETHINDRONE-ETHINYL ESTRAD ,854,4073,5371.5,105211.51,760,  ,69,90.6,1790.35,  ,14,N ,N ,N ,N 
AMANTADINE ,AMANTADINE HCL ,47206,477745,604725.4,52372503.73,96197,  ,311598,409408.2,33814861.83,  ,66486,N ,N ,N ,N 
AMARYL ,GLIMEPIRIDE ,1652,7224,11703.2,1454666.18,1533,  ,6844,11181.7,1381773.66,  ,1448,N ,N ,N ,N 
AMBIEN ,ZOLPIDEM TARTRATE ,6454,28442,33726.3,13641401.89,5917,  ,21244,25752.1,10198476.42,  ,4578,N ,N ,Y ,N 
AMBIEN CR ,ZOLPIDEM TARTRATE ,4751,23537,28930.2,10263596.50,3965,  ,14053,18126.1,6328708.54,  ,2570,N ,N ,Y ,N 
AMBISOME ,AMPHOTERICIN B LIPOSOME ,99,459,462.1,818827.72,112,  ,261,261.7,359561.41,  ,65,N ,N ,N ,N 
AMCINONIDE ,AMCINONIDE ,1543,3532,3859.9,1049504.51,1871,  ,2918,3234.9,860721.73,  ,1586,N ,N ,N ,N 
AMERGE ,NARATRIPTAN HCL ,201,768,842.4,503555.42,173,  ,483,534.5,299446.45,  ,109,N ,N ,N ,N 
AMETHIA ,L-NORGEST/E.ESTRADION-E.ESTRAD ,990,2177,6436.3,372984.59,905,* ,,,,* ,,N ,N ,N ,N 
AMETHIA LO ,L-NORGEST/E.ESTRADION-E.ESTRAD ,185,403,1214.6,67686.27,162,* ,,,,* ,,N ,N ,N ,N 
AMETHYST ,LEVONORGESTREL-ETHIN ESTRADIOL ,307,1483,1930,84957.36,256,* ,,,,* ,,N ,N ,N ,N 
AMICAR ,AMINOCAPROIC ACID ,361,613,657.5,1655539.36,384,  ,476,513.3,1201940.17,  ,299,N ,N ,N ,N 
AMIFOSTINE ,AMIFOSTINE CRYSTALLINE ,,24,29,67441.11,,# ,,,,# ,,N ,N ,N ,N 
AMIKACIN SULFATE ,AMIKACIN SULFATE ,3601,16576,16789.3,1378277.83,5968,  ,12432,12642.4,1032449.07,  ,4772,N ,Y ,N ,N 
AMILORIDE HCL ,AMILORIDE HCL ,16639,89597,148321.6,4367409.35,18586,  ,66779,118266.2,3309635.57,  ,14434,N ,N ,N ,N 
AMILORIDE-HYDROCHLOROTHIAZIDE ,AMILORIDE/HYDROCHLOROTHIAZIDE ,18039,100052,204291,2212325.05,21481,  ,92545,192432.1,2071866.67,  ,20057,N ,N ,N ,N 
AMINO ACIDS ,PARENTERAL AMINO ACID 15% NO.1 ,145,366,366,32394.37,198,  ,211,211,15937.74,  ,113,N ,N ,N ,N 
AMINOCAPROIC ACID ,AMINOCAPROIC ACID ,1615,3856,4064.7,2598822.97,1911,  ,3172,3356,1943842.92,  ,1554,N ,N ,N ,N 
AMINOSYN ,PARENTERAL AMINO ACID 10% NO.2 ,,14,14,1861.32,,# ,,,,# ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 10% NO.1 ,,39,39,4551.20,,# ,,,,# ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 15% NO.2 ,25,295,295,20733.76,27,  ,194,194,10843.65,  ,14,N ,N ,N ,N 
AMIODARONE HCL ,AMIODARONE HCL ,182537,2535178,3914116.8,54738288.77,577411,  ,2321113,3617756.6,50174280.29,  ,530483,N ,N ,N ,N 
AMITIZA ,LUBIPROSTONE ,77791,795026,911975.4,239432189.74,180729,  ,515224,598794.8,152185534.44,  ,120227,N ,N ,N ,N 
AMITRIPTYLINE HCL ,AMITRIPTYLINE HCL ,259423,3917442,5667414.8,86207189.35,746755,  ,2181849,3480481.3,47240569.41,  ,428297,N ,N ,Y ,N 
AMLODIPINE BESYLATE ,AMLODIPINE BESYLATE ,468439,38202200,66141839.2,264001524.51,7261452,  ,33196417,58954420.5,236886020.34,  ,6364201,N ,N ,N ,N 
AMLODIPINE BESYLATE-BENAZEPRIL ,AMLODIPINE BESYLATE/BENAZEPRIL ,145795,2318213,4155672.7,96068915.93,437540,  ,2069106,3791536.9,87734669.82,  ,394473,N ,N ,N ,N 
AMLODIPINE-ATORVASTATIN ,AMLODIPINE/ATORVASTATIN ,27161,137094,284002,43083379.26,31024,  ,130274,272986.8,41356859.38,  ,29435,N ,N ,N ,N 
AMLODIPINE-VALSARTAN ,AMLODIPINE/VALSARTAN ,49268,369168,610420.5,54284206.54,80949,  ,330586,555508,49163907.81,  ,72873,N ,N ,N ,N 
AMLODIPINE-VALSARTAN-HCTZ ,AMLODIPINE/VALSARTAN/HCTHIAZID ,19786,110882,180786.4,23718043.40,26235,  ,94730,157758.7,20652834.27,  ,22390,N ,N ,N ,N 
AMMONIUM LACTATE ,AMMONIUM LACTATE ,80118,869219,918500.9,19443973.72,365500,  ,666915,707542.3,14932069.04,  ,287530,N ,N ,N ,N 
AMNESTEEM ,ISOTRETINOIN ,669,1918,1920.9,630381.97,665,  ,857,858,261323.51,  ,330,N ,N ,N ,N 
AMOX TR-POTASSIUM CLAVULANATE ,AMOXICILLIN/POTASSIUM CLAV ,4086,6066,6079,83126.59,5452,  ,4690,4700.4,63478.96,  ,4200,N ,Y ,N ,N 
AMOXAPINE ,AMOXAPINE ,2195,12944,18041.2,817901.93,1980,  ,9055,13657.8,573427.12,  ,1439,N ,N ,N ,N 
AMOXICILLIN ,AMOXICILLIN ,572179,6707967,6748455.8,29508664.57,4677128,  ,5461757,5497786.3,23508621.73,  ,3813649,N ,Y ,N ,N 
AMOXICILLIN-CLAVULANATE POT ER ,AMOXICILLIN/POTASSIUM CLAV ,14567,28432,28559.6,2930851.96,23271,  ,21802,21902.2,2204407.96,  ,17962,N ,Y ,N ,N 
AMOXICILLIN-CLAVULANATE POTASS ,AMOXICILLIN/POTASSIUM CLAV ,504900,3952041,3961886.5,57120619.18,3025442,  ,3051940,3060210.8,43321526.92,  ,2361088,N ,Y ,N ,N 
AMPHOTERICIN B ,AMPHOTERICIN B ,414,1615,1630.3,365685.84,563,  ,986,997.1,235082.66,  ,398,N ,N ,N ,N 
AMPICILLIN SODIUM ,AMPICILLIN SODIUM ,2109,9957,9959.4,1752159.98,2221,  ,7418,7420.4,1303791.46,  ,1667,N ,Y ,N ,N 
AMPICILLIN TRIHYDRATE ,AMPICILLIN TRIHYDRATE ,59429,177700,183331.1,1179429.09,126322,  ,150542,155703.9,982084.65,  ,107516,N ,Y ,N ,N 
AMPICILLIN-SULBACTAM ,AMPICILLIN SODIUM/SULBACTAM NA ,2410,11675,11676.8,1431135.51,2830,  ,7363,7364.2,876203.58,  ,1969,N ,Y ,N ,N 
AMPYRA ,DALFAMPRIDINE ,4388,79255,97355.1,176167914.28,12199,  ,22052,28494.6,51587872.22,  ,3573,N ,N ,N ,N 
AMRIX ,CYCLOBENZAPRINE HCL ,2122,7349,8423.2,7540284.92,2425,  ,2212,2858.2,2477364.99,  ,867,N ,N ,Y ,N 
AMTURNIDE ,ALISKIREN/AMLODIPIN/HCTHIAZIDE ,283,855,1256,177367.62,269,  ,769,1145,160517.73,  ,243,N ,N ,N ,N 
ANA-LEX ,HYDROCORTISONE/LIDOCAINE/ALOE ,58,87,87.2,25086.49,62,  ,58,58.2,17096.86,  ,45,N ,N ,N ,N 
ANADROL-50 ,OXYMETHOLONE ,39,405,434.8,934082.35,72,  ,63,75.5,94862.84,  ,12,N ,N ,N ,N 
ANAFRANIL ,CLOMIPRAMINE HCL ,117,623,810.1,1691171.98,97,  ,282,405,634838.45,  ,50,N ,N ,Y ,N 
ANAGRELIDE HCL ,ANAGRELIDE HCL ,6615,45756,65513.8,6905316.41,8131,  ,42535,61428.4,6325246.15,  ,7621,N ,N ,N ,N 
ANALPRAM HC ,HYDROCORTISONE/PRAMOXINE ,274,379,442.1,74033.11,271,  ,328,391.1,66169.93,  ,234,N ,N ,N ,N 
ANAPROX ,NAPROXEN SODIUM ,14,22,29.6,5947.72,,# ,,,,# ,,N ,N ,N ,N 
ANAPROX DS ,NAPROXEN SODIUM ,77,198,268.2,75739.65,69,  ,131,188.5,51347.90,  ,46,N ,N ,N ,N 
