Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
ABRAXANE ,PACLITAXEL PROTEIN-BOUND ,116,557,566,2915287.29,161,  ,470,479,2427700.64,  ,135,N ,N ,N ,N 
ABSORICA ,ISOTRETINOIN ,42,78,78,76550.36,40,  ,27,27,21894.57,  ,17,N ,N ,N ,N 
ABSTRAL ,FENTANYL CITRATE ,43,136,136.7,433417.39,47,  ,39,39.7,139540.42,  ,18,Y ,N ,N ,N 
ACAMPROSATE CALCIUM ,ACAMPROSATE CALCIUM ,3255,7019,7690.4,1207087.76,3527,  ,1810,2182.2,322922.92,  ,1011,N ,N ,N ,N 
ACANYA ,CLINDAMYCIN PHOS/BENZOYL PEROX ,544,888,955.1,290935.56,574,  ,419,459.6,136670.75,  ,308,N ,N ,N ,N 
ACARBOSE ,ACARBOSE ,23234,202931,287555,13253429.71,40337,  ,171030,247248.4,11385602.30,  ,34052,N ,N ,N ,N 
ACCOLATE ,ZAFIRLUKAST ,768,3011,4107.5,450913.52,695,  ,2337,3225.3,351947.61,  ,526,N ,N ,N ,N 
ACCUNEB ,ALBUTEROL SULFATE ,21,44,44,2050.60,23,# ,,,,# ,,N ,N ,N ,N 
ACCUPRIL ,QUINAPRIL HCL ,1625,7399,12330.9,1063381.41,1453,  ,6928,11643.6,1003689.93,  ,1367,N ,N ,N ,N 
ACCURETIC ,QUINAPRIL/HYDROCHLOROTHIAZIDE ,168,651,1089.6,92285.54,145,  ,634,1060.6,89684.07,# ,,N ,N ,N ,N 
ACCUSURE ,"SYRING W-NDL,DISP,INSUL,0.5ML ",,26,26,443.76,,# ,,,,# ,,N ,N ,N ,N 
ACCUSURE ,"SYRINGE & NEEDLE,INSULIN,1 ML ",,16,16,365.13,,* ,,,,* ,,N ,N ,N ,N 
ACEBUTOLOL HCL ,ACEBUTOLOL HCL ,19774,134239,238604,3887792.53,23939,  ,124142,224338.8,3645865.46,  ,22326,N ,N ,N ,N 
ACEON ,PERINDOPRIL ERBUMINE ,38,120,156,11372.18,36,  ,96,120,8951.55,# ,,N ,N ,N ,N 
ACETAMINOPH-CAFF-DIHYDROCODEIN ,DHCODEINE BT/ACETAMINOPHN/CAFF ,525,2058,2165.3,216222.37,607,  ,1240,1337.2,132159.36,  ,355,Y ,N ,N ,N 
ACETAMINOPHEN-BUTALBITAL ,BUTALBITAL/ACETAMINOPHEN ,286,676,788.3,16530.78,280,  ,571,676.6,13862.41,  ,242,N ,N ,Y ,N 
ACETAMINOPHEN-CODEINE ,ACETAMINOPHEN WITH CODEINE ,346120,2715621,2780794,32939862.70,1212034,  ,2046926,2103579,24842821.95,  ,933043,Y ,N ,N ,N 
ACETASOL HC ,ACETIC ACID/HYDROCORTISONE ,1328,1974,2014.5,360808.84,1530,  ,1586,1625.9,289684.31,  ,1264,N ,N ,N ,N 
ACETAZOLAMIDE ,ACETAZOLAMIDE ,49556,266790,321644.1,17582221.50,91368,  ,195336,237446.4,11456508.99,  ,75279,N ,N ,N ,N 
ACETAZOLAMIDE SODIUM ,ACETAZOLAMIDE SODIUM ,,11,11,1526.68,,  ,11,11,1526.68,* ,,N ,N ,N ,N 
ACETIC ACID ,ACETIC ACID ,15550,53173,54987.1,1251616.06,26472,  ,38260,39692.5,920486.60,  ,20454,N ,N ,N ,N 
ACETIC ACID-ALUMINUM ,ACETIC ACID/ALUMINUM ACETATE ,2124,5280,6196.4,319239.83,3867,  ,3762,4479.4,230527.03,  ,2970,N ,N ,N ,N 
ACETYLCYSTEINE ,ACETYLCYSTEINE ,4571,12360,12508.3,1530343.35,5923,  ,9566,9700.2,1166933.31,  ,4985,N ,N ,N ,N 
ACIPHEX ,RABEPRAZOLE SODIUM ,49350,284508,429275.8,153548791.67,68247,  ,232290,362419.1,126974910.29,  ,56677,N ,N ,N ,N 
ACITRETIN ,ACITRETIN ,3130,10341,12009.9,10260177.75,4208,  ,7118,8557.8,7020011.72,  ,3031,N ,N ,N ,N 
ACLOVATE ,ALCLOMETASONE DIPROPIONATE ,11,14,16,2335.65,13,# ,,,,# ,,N ,N ,N ,N 
ACTEMRA ,TOCILIZUMAB ,391,4052,4264.9,6774144.99,649,  ,1988,2122.6,3128681.84,  ,333,N ,N ,N ,N 
ACTHIB ,HAEMOPH B POLY CONJ-TET TOX/PF ,311,375,375.1,14555.67,333,  ,300,300.1,11558.04,  ,265,N ,N ,N ,N 
ACTIGALL ,URSODIOL ,189,833,1281,653386.51,169,  ,705,1126,562813.25,  ,148,N ,N ,N ,N 
ACTIMMUNE ,"INTERFERON GAMMA-1B,RECOMB. ",67,470,488,14061309.00,63,  ,303,308.4,9486460.31,  ,39,N ,N ,N ,N 
ACTIQ ,FENTANYL CITRATE ,89,547,565.2,6082509.15,68,  ,120,120,953370.30,  ,15,Y ,N ,N ,N 
ACTIVELLA ,ESTRADIOL/NORETHINDRONE ACET ,1071,4724,6696.9,830173.68,1056,  ,3782,5499.5,678088.61,  ,858,N ,N ,Y ,N 
ACTONEL ,RISEDRONATE SODIUM ,89491,809527,1198705.5,174419402.42,167977,  ,756391,1129836.4,164260971.96,  ,157481,N ,N ,N ,N 
ACTOPLUS MET ,PIOGLITAZONE HCL/METFORMIN HCL ,4434,18098,23929.6,7160852.20,5010,  ,15255,20476.9,6093346.59,  ,4198,N ,N ,N ,N 
ACTOPLUS MET XR ,PIOGLITAZONE HCL/METFORMIN HCL ,1410,5600,9428.1,2979890.44,1478,  ,4605,8159.8,2555967.96,  ,1231,N ,N ,N ,N 
ACTOS ,PIOGLITAZONE HCL ,25011,97590,146519.8,36836810.29,34677,  ,81827,126389.8,31302798.16,  ,29416,N ,N ,N ,N 
ACULAR ,KETOROLAC TROMETHAMINE ,391,995,1116.7,188135.47,506,  ,903,1009.3,170242.53,  ,458,N ,N ,N ,N 
ACULAR LS ,KETOROLAC TROMETHAMINE ,548,1374,1472.4,247243.07,771,  ,1299,1395.4,233539.24,  ,727,N ,N ,N ,N 
ACUVAIL ,KETOROLAC TROMETHAMINE/PF ,1039,5290,5784.8,1204683.53,3336,  ,4984,5457.7,1132757.68,  ,3155,N ,N ,N ,N 
ACYCLOVIR ,ACYCLOVIR ,239847,1375754,1716002.3,55332349.49,564725,  ,975500,1253241,40690613.22,  ,430751,N ,N ,N ,N 
ACYCLOVIR SODIUM ,ACYCLOVIR SODIUM ,173,364,364,82624.59,171,  ,237,237,51843.83,  ,114,N ,N ,N ,N 
ACZONE ,DAPSONE ,2146,4795,5265.5,1604790.80,2704,  ,2649,2984.8,885772.92,  ,1667,N ,N ,N ,N 
ADACEL TDAP ,"DIPH,PERTUSS(ACELL),TET VAC/PF ",33299,145935,146132.5,8210339.71,144333,  ,130626,130775.5,7349685.85,  ,129217,N ,N ,N ,N 
ADALAT CC ,NIFEDIPINE ,715,3179,4833.1,331020.79,646,  ,3005,4610.8,313992.12,  ,592,N ,N ,N ,N 
ADAPALENE ,ADAPALENE ,3775,8244,8729.1,1394110.64,4423,  ,2850,3167.4,501630.02,  ,1825,N ,N ,N ,N 
ADCIRCA ,TADALAFIL ,3652,62489,69744.5,111199114.48,8769,  ,42068,47804.5,75822347.49,  ,5990,N ,N ,N ,N 
ADDERALL ,DEXTROAMPHETAMINE/AMPHETAMINE ,1489,5057,5371.7,1639082.04,1302,  ,1218,1368.4,382049.52,  ,316,N ,N ,N ,N 
ADDERALL XR ,DEXTROAMPHETAMINE/AMPHETAMINE ,6374,25740,31577.4,9247612.22,6021,  ,6351,9624.6,2407470.24,  ,1591,N ,N ,N ,N 
ADEFOVIR DIPIVOXIL ,ADEFOVIR DIPIVOXIL ,453,984,1275.5,1075107.80,454,  ,582,831.3,702293.80,  ,291,N ,N ,N ,N 
ADEMPAS ,RIOCIGUAT ,101,207,209,1505605.73,144,  ,144,146,1047076.07,  ,101,N ,N ,N ,N 
ADIPEX-P ,PHENTERMINE HCL ,27,66,84,5644.18,27,  ,55,69,4365.68,# ,,N ,N ,N ,N 
ADOXA ,DOXYCYCLINE MONOHYDRATE ,12,24,27,24296.88,11,# ,,,,# ,,N ,Y ,N ,N 
ADRENALIN CHLORIDE ,EPINEPHRINE ,138,157,158.1,737.16,150,  ,94,94.4,459.38,  ,90,N ,N ,N ,N 
ADRIAMYCIN ,DOXORUBICIN HCL ,14,35,35,5504.67,17,# ,,,,# ,,N ,N ,N ,N 
ADRUCIL ,FLUOROURACIL ,87,318,320.6,15861.45,101,  ,284,286.6,14428.90,  ,90,N ,N ,N ,N 
ADVAIR DISKUS ,FLUTICASONE/SALMETEROL ,287972,6604111,8262593.2,2262558329.40,1526969,  ,5094373,6523466.8,1767936542.20,  ,1184232,N ,N ,N ,N 
ADVAIR HFA ,FLUTICASONE/SALMETEROL ,57080,349030,427616.5,122403886.45,100643,  ,260211,325548.1,92342238.19,  ,75808,N ,N ,N ,N 
ADVANCED AM/PM ,OM-3/CA CARB/D3/FA/MV CMB 13 ,,35,83,3343.33,14,# ,,,,# ,,N ,N ,N ,N 
ADVICOR ,NIACIN/LOVASTATIN ,5825,27545,52522.7,9760527.14,5959,  ,25981,50147.2,9292802.06,  ,5666,N ,N ,N ,N 
ADVOCATE PEN NEEDLES ,"NEEDLES, INSULIN DISPOSABLE ",4017,5921,14057.6,377265.73,4267,  ,2701,6070.3,158503.28,  ,1830,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.3ML ",1264,1957,5154.2,128340.81,1283,  ,907,2428.2,58342.02,  ,603,N ,N ,N ,N 
CEM-UREA ,UREA ,13,20,20,3163.98,14,# ,,,,# ,,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.5ML ",1285,2154,5392.7,138071.42,1286,  ,1009,2400.7,58446.83,  ,569,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRINGE & NEEDLE,INSULIN,1 ML ",1619,2736,7040.2,187245.70,1650,  ,1090,2785.4,68779.87,  ,676,N ,N ,N ,N 
AFEDITAB CR ,NIFEDIPINE ,13578,67822,87030.4,2420534.23,17023,  ,59151,76937.7,2092520.06,  ,14723,N ,N ,N ,N 
AFINITOR ,EVEROLIMUS ,4815,32114,32937.8,274780106.86,7566,  ,24509,25189.3,209372846.84,  ,5903,N ,N ,N ,N 
AFINITOR DISPERZ ,EVEROLIMUS ,,20,20,245641.66,,# ,,,,# ,,N ,N ,N ,N 
AGGRENOX ,ASPIRIN/DIPYRIDAMOLE ,101687,1005686,1317663.7,320981439.91,159833,  ,902498,1193969.5,290360771.40,  ,143880,N ,N ,N ,N 
AGRYLIN ,ANAGRELIDE HCL ,72,287,405.4,236612.23,60,  ,274,392.4,225736.25,# ,,N ,N ,N ,N 
AIMSCO MINI ULTRA-THIN II ,"NEEDLES, INSULIN DISPOSABLE ",170,246,422.2,7667.99,175,  ,175,312.2,5150.23,  ,126,N ,N ,N ,N 
AIMSCO ULTRA THIN II ,"NEEDLES, INSULIN DISPOSABLE ",145,450,585,14345.20,167,  ,309,421.8,10116.79,  ,117,N ,N ,N ,N 
AK-POLY-BAC ,BACITRACIN/POLYMYXIN B SULFATE ,3995,10079,10115.9,217109.09,6427,  ,8471,8505.9,181737.46,  ,5472,N ,N ,N ,N 
AKNE-MYCIN ,ERYTHROMYCIN BASE ,599,782,827.6,122594.57,648,  ,601,642.6,93836.59,  ,514,N ,N ,N ,N 
AKTEN ,LIDOCAINE HCL/PF ,26,43,43,1644.16,38,# ,,,,# ,,N ,N ,N ,N 
ALA-SCALP ,HYDROCORTISONE ,47,78,79,11345.13,58,  ,62,63,8333.04,# ,,N ,N ,N ,N 
ALAHIST DHC ,PHENYLEPHRINE HCL/DIHYDROCO BT ,21,38,38,980.64,30,# ,,,,# ,,N ,N ,N ,N 
ALBENZA ,ALBENDAZOLE ,5187,7192,7243.5,4333691.39,5618,  ,4409,4447.8,2312809.77,  ,3580,N ,N ,N ,N 
ALBUMIN (HUMAN) ,ALBUMIN HUMAN ,,14,14,3416.06,,  ,14,14,3416.06,* ,,N ,N ,N ,N 
ALBUMINAR-25 ,ALBUMIN HUMAN ,,41,41,24443.92,11,# ,,,,# ,,N ,N ,N ,N 
ALBUTEIN ,ALBUMIN HUMAN ,14,45,45,18300.42,15,# ,,,,# ,,N ,N ,N ,N 
ALBUTEROL SULFATE ,ALBUTEROL SULFATE ,71417,873514,918038.4,30778654.35,275539,  ,732435,770375.3,24095608.00,  ,236824,N ,N ,N ,N 
ALCAINE ,PROPARACAINE HCL ,,19,21,737.08,,  ,19,21,737.08,* ,,N ,N ,N ,N 
ALCLOMETASONE DIPROPIONATE ,ALCLOMETASONE DIPROPIONATE ,9248,34658,36150.5,1662086.38,22512,  ,29512,30893,1397643.18,  ,19744,N ,N ,N ,N 
ALCOHOL PADS ,ALCOHOL ANTISEPTIC PADS ,14350,68996,94006.9,1403703.77,23836,  ,53108,73443.9,1057834.28,  ,18459,N ,N ,N ,N 
ALCOHOL PREP PADS ,ALCOHOL ANTISEPTIC PADS ,43354,232554,396635.8,3816501.30,83231,  ,168309,280613.8,2378856.40,  ,59546,N ,N ,N ,N 
ALCOHOL PREP SWABS ,ALCOHOL ANTISEPTIC PADS ,1867,7546,8912.9,27304.13,2428,  ,4873,5859.5,16941.97,  ,1604,N ,N ,N ,N 
ALCOHOL SWAB ,ALCOHOL ANTISEPTIC PADS ,1827,7280,8895.4,25946.98,2784,  ,4956,6102.9,17419.45,  ,1916,N ,N ,N ,N 
ALCOHOL SWABS ,ALCOHOL ANTISEPTIC PADS ,21339,110508,140606,392239.22,42444,  ,80693,103376.8,287192.18,  ,30329,N ,N ,N ,N 
ALCOHOL WIPES ,ALCOHOL ANTISEPTIC PADS ,795,3257,3906.8,9744.09,1032,  ,2422,2906.4,7125.12,  ,743,N ,N ,N ,N 
ALDACTAZIDE ,SPIRONOLACT/HYDROCHLOROTHIAZID ,1144,4126,7365.6,473628.37,1121,  ,3839,6982.4,444420.70,  ,1020,N ,N ,N ,N 
ALDACTONE ,SPIRONOLACTONE ,987,3605,6018.9,413457.72,902,  ,3273,5486.9,365626.14,  ,803,N ,N ,N ,N 
ALDARA ,IMIQUIMOD ,447,665,734,284966.11,470,  ,530,590.5,227930.60,  ,402,N ,N ,N ,N 
ALDURAZYME ,LARONIDASE ,,38,38,1408265.56,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
ALENDRONATE SODIUM ,ALENDRONATE SODIUM ,257374,8097939,12567239.8,101095301.92,1632714,  ,7348524,11611028.9,92655279.56,  ,1501055,N ,N ,N ,N 
ALFUZOSIN HCL ,ALFUZOSIN HCL ,39964,413485,723612.5,22892194.89,89721,  ,380050,677650.5,21426227.82,  ,83031,N ,N ,N ,N 
ALICLEN ,SALICYLIC ACID ,21,26,26,1180.87,21,# ,,,,# ,,N ,N ,N ,N 
ALIMTA ,PEMETREXED DISODIUM ,219,1685,1701,8228721.97,315,  ,1461,1477,7106344.52,  ,269,N ,N ,N ,N 
ALINIA ,NITAZOXANIDE ,2147,4109,4142.2,1755857.65,3238,  ,2989,2992.3,1086568.23,  ,2458,N ,N ,N ,N 
ALKERAN ,MELPHALAN ,235,672,710.6,170330.41,223,  ,658,696.6,167116.29,# ,,N ,N ,N ,N 
ALLEGRA ,FEXOFENADINE HCL ,78,123,128.2,7009.96,81,  ,67,69,3239.36,  ,53,N ,N ,N ,N 
ALLEGRA-D 12 HOUR ,FEXOFENADINE/PSEUDOEPHEDRINE ,82,112,114,8393.73,87,  ,59,61,4459.36,  ,52,N ,N ,N ,N 
ALLEGRA-D 24 HOUR ,FEXOFENADINE/PSEUDOEPHEDRINE ,114,174,201,21571.66,114,  ,83,103,11002.94,  ,62,N ,N ,N ,N 
ALLOPURINOL ,ALLOPURINOL ,274667,7633142,12948838.7,62385805.26,1480790,  ,6659621,11586343.1,55511354.38,  ,1307318,N ,N ,N ,N 
ALOCRIL ,NEDOCROMIL SODIUM ,1592,4132,4620.5,696433.96,1954,  ,3528,3974.9,600218.16,  ,1685,N ,N ,N ,N 
ALOMIDE ,LODOXAMIDE TROMETHAMINE ,492,1160,1466.3,163085.94,557,  ,940,1222.6,135436.76,  ,464,N ,N ,N ,N 
ALORA ,ESTRADIOL ,2876,10566,14361.7,971387.51,2717,  ,7973,11418.4,769497.09,  ,2050,N ,N ,Y ,N 
ALOXI ,PALONOSETRON HCL ,239,2240,2272.9,1712739.94,597,  ,1810,1835.7,1310118.28,  ,488,N ,N ,N ,N 
ALPHAGAN P ,BRIMONIDINE TARTRATE ,46958,949178,1288600.2,139774956.36,223972,  ,882161,1205863.6,130552287.32,  ,208185,N ,N ,N ,N 
ALPRAZOLAM ,ALPRAZOLAM ,362230,12543563,13675675.6,90232934.99,2458154,  ,8014567,8980935,53791890.66,  ,1768090,N ,N ,N ,N 
ALPRAZOLAM ER ,ALPRAZOLAM ,12068,57188,63960.7,2403253.12,14746,  ,27925,33001.3,1043311.13,  ,8034,N ,N ,N ,N 
ALPRAZOLAM INTENSOL ,ALPRAZOLAM ,388,888,911,84635.47,362,  ,648,659.4,52216.64,  ,291,N ,N ,N ,N 
ALPRAZOLAM ODT ,ALPRAZOLAM ,1751,3682,4484.6,382729.72,1805,  ,2324,2989.1,218810.37,  ,1252,N ,N ,N ,N 
ALPRAZOLAM XR ,ALPRAZOLAM ,5207,18623,22543.9,916122.97,5728,  ,9040,11950.5,400455.45,  ,3087,N ,N ,N ,N 
ALPROSTADIL ,ALPROSTADIL ,46,137,137,9153.85,64,  ,125,125,8550.29,# ,,N ,N ,N ,N 
ALREX ,LOTEPREDNOL ETABONATE ,16461,91347,102073.4,16429488.63,43671,  ,82362,92212,14773714.88,  ,39631,N ,N ,N ,N 
ALSUMA ,SUMATRIPTAN SUCCINATE ,193,518,541.4,298431.24,209,  ,73,81.8,49027.08,  ,37,N ,N ,N ,N 
ALTABAX ,RETAPAMULIN ,2355,4656,4806.9,692073.38,3112,  ,3451,3535.9,494350.09,  ,2455,N ,N ,N ,N 
ALTACE ,RAMIPRIL ,3077,14294,24164.6,2897874.24,2849,  ,13306,22647.6,2704448.98,  ,2649,N ,N ,N ,N 
ALTAVERA ,LEVONORGESTREL-ETH ESTRADIOL ,719,3033,3942.2,94199.99,650,  ,0,0,0.00,  ,0,N ,N ,N ,N 
ALTOPREV ,LOVASTATIN ,1415,5289,9628.7,4161039.41,1367,  ,4802,8979.1,3871360.67,  ,1236,N ,N ,N ,N 
ALUVEA ,UREA ,57,72,74,24767.74,63,  ,47,49,16247.12,  ,42,N ,N ,N ,N 
ALVESCO ,CICLESONIDE ,4574,24782,32982.2,6733565.07,6822,  ,21142,28621.7,5858369.55,  ,5845,N ,N ,N ,N 
ALYACEN ,NORETHINDRONE-ETHINYL ESTRAD ,1030,4951,6164.9,144994.53,939,  ,34,53.8,1284.01,  ,15,N ,N ,N ,N 
ALZ-NAC ,ACETYL/METHYL-B12/LMEFOLATE CA ,417,1570,2477.4,146833.68,473,  ,1531,2434.4,144038.34,# ,,N ,N ,N ,N 
AMANTADINE ,AMANTADINE HCL ,42233,411087,521347.5,42461055.85,80818,  ,256669,339209.4,26585883.15,  ,54339,N ,N ,N ,N 
AMARYL ,GLIMEPIRIDE ,2145,9444,15111.2,1259409.42,1988,  ,8927,14339.6,1186993.59,  ,1867,N ,N ,N ,N 
AMBIEN ,ZOLPIDEM TARTRATE ,8031,35744,42548,11069035.67,7353,  ,26254,31981.8,8121833.16,  ,5619,N ,N ,Y ,N 
AMBIEN CR ,ZOLPIDEM TARTRATE ,7670,36773,44519.3,10722680.40,6670,  ,22275,28191.4,6671768.43,  ,4352,N ,N ,Y ,N 
AMBISOME ,AMPHOTERICIN B LIPOSOME ,72,332,336.4,644585.30,89,  ,156,158,197108.24,  ,37,N ,N ,N ,N 
AMCINONIDE ,AMCINONIDE ,2442,6223,6803.1,1654372.70,3371,  ,5366,5901.5,1409559.22,  ,2980,N ,N ,N ,N 
AMERGE ,NARATRIPTAN HCL ,224,865,956,380504.95,199,  ,515,589.5,230603.11,  ,118,N ,N ,N ,N 
AMETHIA ,L-NORGEST-ETH ESTR/ETHIN ESTRA ,1112,2312,6743.7,402283.45,1019,* ,,,,* ,,N ,N ,N ,N 
AMETHIA LO ,L-NORGEST-ETH ESTR/ETHIN ESTRA ,146,271,794.8,52984.66,130,  ,0,0,0.00,  ,0,N ,N ,N ,N 
AMETHYST ,LEVONORGESTREL-ETH ESTRADIOL ,362,1922,2385.3,115612.76,312,  ,17,17,906.29,* ,,N ,N ,N ,N 
AMICAR ,AMINOCAPROIC ACID ,68,77,79,21041.27,67,  ,60,62,16337.93,  ,52,N ,N ,N ,N 
AMIFOSTINE ,AMIFOSTINE CRYSTALLINE ,,37,46,58826.18,11,  ,23,32,30825.44,* ,,N ,N ,N ,N 
AMIKACIN SULFATE ,AMIKACIN SULFATE ,3330,14052,14152.8,967339.19,5118,  ,10219,10309.6,690676.46,  ,3956,N ,Y ,N ,N 
AMILORIDE HCL ,AMILORIDE HCL ,14877,81510,129640.8,4672080.92,16516,  ,60532,102468.8,3514013.58,  ,12681,N ,N ,N ,N 
AMILORIDE-HYDROCHLOROTHIAZIDE ,AMILORIDE/HYDROCHLOROTHIAZIDE ,19278,118333,224294.9,1667790.48,23987,  ,108856,210174.5,1552356.52,  ,22226,N ,N ,N ,N 
AMINO ACIDS ,PARENTERAL AMINO ACID 15% NO.1 ,,17,17,2604.43,,* ,,,,* ,,N ,N ,N ,N 
AMINOCAPROIC ACID ,AMINOCAPROIC ACID ,2370,6435,6927.8,3169848.53,3006,  ,5289,5702.5,2404413.04,  ,2442,N ,N ,N ,N 
AMINOPHYLLINE ,AMINOPHYLLINE ,52,99,108,652.14,61,  ,78,87,498.66,  ,47,N ,N ,N ,N 
AMINOSYN ,PARENTERAL AMINO ACID 10% NO.2 ,,25,25,6818.04,,# ,,,,# ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 10% NO.1 ,11,96,96,15919.39,11,  ,62,62,12367.30,* ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 15% NO.2 ,11,93,93,13140.03,,  ,62,62,8171.79,* ,,N ,N ,N ,N 
AMIODARONE HCL ,AMIODARONE HCL ,162332,2093022,3102287.4,42242171.96,465109,  ,1914141,2864003.6,38318991.87,  ,426564,N ,N ,N ,N 
AMITIZA ,LUBIPROSTONE ,63435,623444,708901.8,158373905.62,143597,  ,409544,471970.8,102030614.62,  ,97770,N ,N ,N ,N 
AMITRIPTYLINE HCL ,AMITRIPTYLINE HCL ,264761,4319919,6168701.6,25717769.18,848575,  ,2610510,4049097.5,16081123.36,  ,533852,N ,N ,Y ,N 
AMLODIPINE BESYLATE ,AMLODIPINE BESYLATE ,441405,34592048,55719690.2,343272949.43,6243653,  ,30073583,49642810.9,306310873.57,  ,5464007,N ,N ,N ,N 
AMLODIPINE BESYLATE-BENAZEPRIL ,AMLODIPINE BESYLATE/BENAZEPRIL ,148337,2826882,4523038.6,201916599.93,480802,  ,2492792,4081457.8,181171261.47,  ,428216,N ,N ,N ,N 
AMLODIPINE-ATORVASTATIN ,AMLODIPINE/ATORVASTATIN ,29882,161287,310415,44828362.45,35447,  ,151478,295434.5,42552944.40,  ,33373,N ,N ,N ,N 
AMMONIUM LACTATE ,AMMONIUM LACTATE ,77896,776847,811439,16688249.46,340460,  ,589842,618443.1,12627916.67,  ,265375,N ,N ,N ,N 
AMNESTEEM ,ISOTRETINOIN ,583,1645,1646.6,675703.73,597,  ,760,761.6,284957.36,  ,295,N ,N ,N ,N 
AMOX TR-POTASSIUM CLAVULANATE ,AMOXICILLIN/POTASSIUM CLAV ,457381,3330356,3337588.9,74688068.74,2531183,  ,2524978,2530925.4,55660809.06,  ,1940942,N ,Y ,N ,N 
AMOXAPINE ,AMOXAPINE ,2347,14273,19497.8,750390.66,2185,  ,9833,14579.5,499153.36,  ,1555,N ,N ,N ,N 
AMOXICILLIN ,AMOXICILLIN ,547435,5823724,5856125.9,32643876.82,4065984,  ,4629268,4657629,25196600.80,  ,3243408,N ,Y ,N ,N 
AMOXICILLIN-CLAVULANATE ER ,AMOXICILLIN/POTASSIUM CLAV ,16279,33472,33601.5,3276778.58,27260,  ,25049,25154.5,2406525.47,  ,20641,N ,Y ,N ,N 
AMPHETAMINE SALT COMBO ,DEXTROAMPHETAMINE/AMPHETAMINE ,68612,758428,788130.8,56926845.07,112753,  ,150657,164416.1,11226513.27,  ,28402,N ,N ,N ,N 
AMPHOTERICIN B ,AMPHOTERICIN B ,638,2097,2110,501497.45,915,  ,1380,1386.1,323160.88,  ,657,N ,N ,N ,N 
AMPICILLIN SODIUM ,AMPICILLIN SODIUM ,1694,7873,7876.7,1549776.78,1826,  ,6003,6005.9,1134766.86,  ,1395,N ,Y ,N ,N 
AMPICILLIN TRIHYDRATE ,AMPICILLIN TRIHYDRATE ,59317,178462,183037.6,1291835.78,126546,  ,148762,152857.3,1061490.80,  ,106152,N ,Y ,N ,N 
