Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
ACZONE ,DAPSONE ,2726,6569,7206.4,2425067.74,3495,  ,3424,3807.4,1239992.47,  ,2073,N ,N ,N ,N 
ADACEL TDAP ,"DIPH,PERTUSS(ACELL),TET VAC/PF ",37203,180064,180243.6,9779328.04,179125,  ,160500,160626.8,8686977.56,  ,159692,N ,N ,N ,N 
ADAGEN ,PEGADEMASE BOVINE ,,13,13,1224835.08,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
ADALAT CC ,NIFEDIPINE ,606,2714,4259.9,303049.77,523,  ,2537,4019.9,283572.91,  ,484,N ,N ,N ,N 
ADAPALENE ,ADAPALENE ,4545,10711,11429.3,1857990.59,5559,  ,3817,4305.3,702827.91,  ,2399,N ,N ,N ,N 
ADCETRIS ,BRENTUXIMAB VEDOTIN ,,20,20,309180.08,,* ,,,,* ,,N ,N ,N ,N 
ADCIRCA ,TADALAFIL ,3953,74342,82317.9,156604030.42,9913,  ,50635,56780.8,107449844.16,  ,6832,N ,N ,N ,N 
ADDERALL ,DEXTROAMPHETAMINE/AMPHETAMINE ,1725,5870,6243.5,2102548.76,1509,  ,1392,1543.1,469892.56,  ,367,N ,N ,N ,N 
ADDERALL XR ,DEXTROAMPHETAMINE/AMPHETAMINE ,6008,24965,30772.3,8806766.80,5719,  ,7088,10384.2,2524411.21,  ,1648,N ,N ,N ,N 
ADEFOVIR DIPIVOXIL ,ADEFOVIR DIPIVOXIL ,1015,5618,7448,6189502.65,946,  ,3554,5050.2,4295252.65,  ,642,N ,N ,N ,N 
ADEMPAS ,RIOCIGUAT ,585,6672,6699,49658533.44,1151,  ,4846,4873,36343574.01,  ,845,N ,N ,N ,N 
ADRENACLICK ,EPINEPHRINE ,12,13,15.1,3127.17,12,* ,,,,* ,,N ,N ,N ,N 
ADRENALIN ,EPINEPHRINE ,163,215,215,1054.87,203,  ,131,131,585.96,  ,125,N ,N ,N ,N 
ADRIAMYCIN ,DOXORUBICIN HCL ,,17,17,3352.07,,# ,,,,# ,,N ,N ,N ,N 
ADRUCIL ,FLUOROURACIL ,76,296,296.9,10247.59,104,  ,259,259.9,8730.83,  ,91,N ,N ,N ,N 
ADVAIR DISKUS ,FLUTICASONE/SALMETEROL ,281775,6093354,7722331.8,2276060161.00,1420515,  ,4748389,6160614,1797619887.80,  ,1111558,N ,N ,N ,N 
ADVAIR HFA ,FLUTICASONE/SALMETEROL ,60829,363604,451603.7,138527793.39,103080,  ,274453,347891.8,105836787.25,  ,78228,N ,N ,N ,N 
ADVICOR ,NIACIN/LOVASTATIN ,4654,20636,39959.8,8617080.33,4637,  ,19627,38476.1,8288359.30,  ,4445,N ,N ,N ,N 
ADVOCATE PEN NEEDLES ,"NEEDLES, INSULIN DISPOSABLE ",1137,3279,6411.2,211154.08,1270,  ,2215,4388.3,137506.08,  ,859,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.3 ML ",166,421,748.5,19346.63,201,  ,290,500.6,12236.34,  ,139,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRING W-NDL,DISP,INSUL,0.5 ML ",414,1182,1906.4,50031.11,468,  ,840,1372.2,35475.09,  ,326,N ,N ,N ,N 
ADVOCATE SYRINGES ,"SYRINGE & NEEDLE,INSULIN,1 ML ",1108,1961,4208.7,119343.38,1152,  ,934,1931.2,51138.38,  ,516,N ,N ,N ,N 
AEROSPAN ,FLUNISOLIDE ,372,687,838.1,129427.53,437,  ,569,708.5,108570.85,  ,366,N ,N ,N ,N 
AFEDITAB CR ,NIFEDIPINE ,20054,103710,145475.5,3850656.75,24882,  ,85740,123102.3,3136957.71,  ,20365,N ,N ,N ,N 
AFINITOR ,EVEROLIMUS ,5243,36070,36817.9,353302595.71,8009,  ,27868,28466.2,271826415.49,  ,6303,N ,N ,N ,N 
AFINITOR DISPERZ ,EVEROLIMUS ,27,79,79,1040894.29,26,# ,,,,# ,,N ,N ,N ,N 
AGGRENOX ,ASPIRIN/DIPYRIDAMOLE ,91428,844186,1125968.5,325619282.80,135045,  ,760020,1023094.6,295305315.45,  ,121777,N ,N ,N ,N 
AGRYLIN ,ANAGRELIDE HCL ,80,326,478.2,291187.62,65,  ,306,458.2,273128.82,# ,,N ,N ,N ,N 
AIMSCO ULTRA THIN II ,"NEEDLES, INSULIN DISPOSABLE ",31,57,80,2114.70,31,  ,43,61,1651.52,# ,,N ,N ,N ,N 
AK-POLY-BAC ,BACITRACIN/POLYMYXIN B SULFATE ,3719,9456,9521.5,177802.07,6065,  ,7867,7924.5,147354.48,  ,5154,N ,N ,N ,N 
AKNE-MYCIN ,ERYTHROMYCIN BASE ,287,339,345,49523.27,295,  ,262,268,38018.04,  ,235,N ,N ,N ,N 
AKTEN ,LIDOCAINE HCL/PF ,24,36,36,1394.52,26,# ,,,,# ,,N ,N ,N ,N 
AKYNZEO ,NETUPITANT/PALONOSETRON HCL ,,11,11,5378.32,,* ,,,,* ,,N ,N ,N ,N 
ALA-CORT ,HYDROCORTISONE ,16,17,17.4,659.18,16,# ,,,,# ,,N ,N ,N ,N 
ALA-SCALP ,HYDROCORTISONE ,49,63,67,17091.75,49,  ,46,50,11636.40,# ,,N ,N ,N ,N 
ALBENZA ,ALBENDAZOLE ,5390,7524,7575.2,9566410.50,5760,  ,4605,4633.5,4545983.27,  ,3704,N ,N ,N ,N 
ALBUMIN (HUMAN) ,ALBUMIN HUMAN ,,34,34,6732.78,12,# ,,,,# ,,N ,N ,N ,N 
ALBUMINAR-25 ,ALBUMIN HUMAN ,11,102,102,41197.55,12,  ,57,57,31423.66,* ,,N ,N ,N ,N 
ALBURX ,ALBUMIN HUMAN ,,29,29,20396.15,,# ,,,,# ,,N ,N ,N ,N 
ALBUTEIN ,ALBUMIN HUMAN ,11,46,46,19000.71,13,  ,33,33,14050.72,* ,,N ,N ,N ,N 
ALBUTEROL SULFATE ,ALBUTEROL SULFATE ,72043,812247,855488.7,37320893.32,259833,  ,679010,716064.4,28883806.82,  ,222371,N ,N ,N ,N 
ALCLOMETASONE DIPROPIONATE ,ALCLOMETASONE DIPROPIONATE ,9063,36342,37590,2166033.42,23953,  ,31243,32412.1,1841588.94,  ,21169,N ,N ,N ,N 
ALCOHOL PADS ,ALCOHOL ANTISEPTIC PADS ,36447,184735,288017,4810401.54,65681,  ,137361,213377.8,3341483.23,  ,47583,N ,N ,N ,N 
ALCOHOL PREP PADS ,ALCOHOL ANTISEPTIC PADS ,57417,274113,493830.5,6317966.76,113016,  ,201973,357647.9,4461116.38,  ,81052,N ,N ,N ,N 
ALCOHOL PREP SWABS ,ALCOHOL ANTISEPTIC PADS ,2034,8812,10152.4,36509.90,2646,  ,6003,7047.2,26312.92,  ,1825,N ,N ,N ,N 
ALCOHOL SWAB ,ALCOHOL ANTISEPTIC PADS ,2602,9647,12004.8,37324.25,3640,  ,6210,7874.4,24682.44,  ,2378,N ,N ,N ,N 
ALCOHOL SWABS ,ALCOHOL ANTISEPTIC PADS ,20236,78832,109681.7,258812.87,34698,  ,54397,76581.6,177101.38,  ,23861,N ,N ,N ,N 
ALCOHOL WIPES ,ALCOHOL ANTISEPTIC PADS ,863,4007,5052.6,12730.90,1187,  ,3106,3940.5,9580.36,  ,886,N ,N ,N ,N 
ALDACTAZIDE ,SPIRONOLACT/HYDROCHLOROTHIAZID ,921,3157,5830.1,413157.98,899,  ,2937,5529.7,389632.26,  ,823,N ,N ,N ,N 
ALDACTONE ,SPIRONOLACTONE ,930,3311,5709.6,461309.01,854,  ,2970,5175.4,408931.15,  ,769,N ,N ,N ,N 
ALDARA ,IMIQUIMOD ,185,305,348.1,259240.06,190,  ,233,270.1,205729.57,  ,146,N ,N ,N ,N 
ALDURAZYME ,LARONIDASE ,,62,62,2256857.86,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
ALENDRONATE SODIUM ,ALENDRONATE SODIUM ,254929,7771129,12434085.3,81281874.16,1613639,  ,7050574,11492601.9,74557031.63,  ,1484839,N ,N ,N ,N 
ALEVEER ,CAPSAICIN/MENTHOL ,135,375,378,763721.42,269,  ,302,305,584559.35,  ,221,N ,N ,N ,N 
ALFUZOSIN HCL ER ,ALFUZOSIN HCL ,43885,459130,831421.6,15253971.11,105803,  ,424578,782591,14340720.69,  ,98362,N ,N ,N ,N 
ALIMTA ,PEMETREXED DISODIUM ,214,1636,1643.6,8261772.15,357,  ,1434,1441.6,7109091.99,  ,312,N ,N ,N ,N 
ALINIA ,NITAZOXANIDE ,2384,5334,5401.1,2457005.03,3964,  ,3698,3741,1558265.41,  ,2980,N ,N ,N ,N 
ALKERAN ,MELPHALAN ,231,669,711.6,181257.24,219,  ,652,694.6,176151.56,# ,,N ,N ,N ,N 
ALLEGRA ,FEXOFENADINE HCL ,,13,13,841.88,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
ALLEGRA-D 24 HOUR ,FEXOFENADINE/PSEUDOEPHEDRINE ,38,53,62,5912.47,38,  ,28,32,3231.17,  ,23,N ,N ,N ,N 
ALLOPURINOL ,ALLOPURINOL ,283251,8053776,14172702.8,74513182.53,1599171,  ,7042069,12710074.6,66423730.04,  ,1416791,N ,N ,N ,N 
ALOCRIL ,NEDOCROMIL SODIUM ,1498,3958,4387.4,717298.84,1978,  ,3377,3764.6,621350.99,  ,1714,N ,N ,N ,N 
ALOMIDE ,LODOXAMIDE TROMETHAMINE ,462,1126,1531,175837.69,500,  ,939,1330.3,150904.16,  ,422,N ,N ,N ,N 
ALORA ,ESTRADIOL ,2690,10104,13852.3,999475.01,2605,  ,7250,10553.7,757894.06,  ,1882,N ,N ,Y ,N 
ALOXI ,PALONOSETRON HCL ,251,2763,2789.2,2058217.91,777,  ,2316,2336.1,1691031.20,  ,649,N ,N ,N ,N 
ALPHAGAN P ,BRIMONIDINE TARTRATE ,46592,946196,1286171.7,155266956.44,219166,  ,879287,1202687.3,145117311.76,  ,203841,N ,N ,N ,N 
ALPRAZOLAM ,ALPRAZOLAM ,370075,13723454,14978970,92169069.86,2544993,  ,8832798,9905371.6,57982736.67,  ,1847376,N ,N ,N ,N 
ALPRAZOLAM ER ,ALPRAZOLAM ,11682,59960,67538.4,2193390.94,13746,  ,29416,34891.8,952118.01,  ,7590,N ,N ,N ,N 
ALPRAZOLAM INTENSOL ,ALPRAZOLAM ,360,853,882.5,97194.28,331,  ,592,610.1,50859.24,  ,277,N ,N ,N ,N 
ALPRAZOLAM ODT ,ALPRAZOLAM ,2492,6859,7898.9,715024.05,2671,  ,3954,4770.7,354090.24,  ,1828,N ,N ,N ,N 
ALPRAZOLAM XR ,ALPRAZOLAM ,5168,19202,23285.9,766318.45,5825,  ,9827,13027.3,358459.46,  ,3242,N ,N ,N ,N 
ALPROSTADIL ,ALPROSTADIL ,31,130,130,8814.86,58,  ,108,108,8152.02,# ,,N ,N ,N ,N 
ALREX ,LOTEPREDNOL ETABONATE ,16715,93292,105492.7,19603418.52,45372,  ,84286,95578.3,17686974.67,  ,41281,N ,N ,N ,N 
ALTABAX ,RETAPAMULIN ,1817,3576,3677.1,678420.50,2289,  ,2628,2680.5,473339.89,  ,1786,N ,N ,N ,N 
ALTACE ,RAMIPRIL ,2782,12638,22351.7,3058305.70,2561,  ,11771,20995.2,2853024.39,  ,2407,N ,N ,N ,N 
ALTAVERA ,LEVONORGESTREL-ETHIN ESTRADIOL ,538,2488,3200.1,71939.72,482,* ,,,,* ,,N ,N ,N ,N 
ALTOPREV ,LOVASTATIN ,1160,4175,7626.5,3375850.70,1124,  ,3828,7141,3146885.11,  ,1019,N ,N ,N ,N 
ALUVEA ,UREA ,34,41,45,14530.01,35,  ,26,30,9277.30,  ,22,N ,N ,N ,N 
ALVESCO ,CICLESONIDE ,4605,24407,33031.3,7401428.71,6545,  ,20851,28752.1,6458503.27,  ,5617,N ,N ,N ,N 
ALYACEN ,NORETHINDRONE-ETHINYL ESTRAD ,1013,4584,6015.8,128399.98,913,  ,50,69.8,1493.49,  ,14,N ,N ,N ,N 
AMANTADINE ,AMANTADINE HCL ,45316,450310,569932.3,48767362.69,91844,  ,289295,380520.6,31547876.61,  ,63048,N ,N ,N ,N 
AMARYL ,GLIMEPIRIDE ,1944,8420,13684.9,1378261.59,1795,  ,7995,13046.6,1302688.19,  ,1698,N ,N ,N ,N 
AMBIEN ,ZOLPIDEM TARTRATE ,7363,32671,38760.4,12892173.71,6726,  ,24148,29411.1,9535578.71,  ,5145,N ,N ,Y ,N 
AMBIEN CR ,ZOLPIDEM TARTRATE ,6067,30225,36753.4,10889988.14,5113,  ,18477,23382.1,6826078.75,  ,3352,N ,N ,Y ,N 
AMBISOME ,AMPHOTERICIN B LIPOSOME ,83,382,384.6,764991.92,102,  ,165,165,283064.43,  ,52,N ,N ,N ,N 
AMCINONIDE ,AMCINONIDE ,2114,5182,5675.9,1490047.89,2766,  ,4472,4942.9,1268553.12,  ,2452,N ,N ,N ,N 
AMERGE ,NARATRIPTAN HCL ,209,828,912,418055.25,185,  ,521,593.7,267671.29,  ,121,N ,N ,N ,N 
AMETHIA ,L-NORGEST-ETH ESTR/ETHIN ESTRA ,1100,2415,7057.7,434407.34,988,* ,,,,* ,,N ,N ,N ,N 
AMETHIA LO ,L-NORGEST-ETH ESTR/ETHIN ESTRA ,170,352,1066.7,64219.52,149,* ,,,,* ,,N ,N ,N ,N 
AMETHYST ,LEVONORGESTREL-ETHIN ESTRADIOL ,333,1821,2344.4,107747.00,280,  ,16,16,845.56,* ,,N ,N ,N ,N 
AMIFOSTINE ,AMIFOSTINE CRYSTALLINE ,,26,36.3,43042.40,,# ,,,,# ,,N ,N ,N ,N 
AMIKACIN SULFATE ,AMIKACIN SULFATE ,3625,16109,16279.1,1256012.08,5964,  ,11874,12038,894656.77,  ,4763,N ,Y ,N ,N 
AMILORIDE HCL ,AMILORIDE HCL ,16012,86685,140624,4474371.17,17798,  ,64437,111204.8,3381085.61,  ,13678,N ,N ,N ,N 
AMILORIDE-HYDROCHLOROTHIAZIDE ,AMILORIDE/HYDROCHLOROTHIAZIDE ,18808,109155,215666.3,1898699.47,22857,  ,100775,202612.6,1774437.14,  ,21256,N ,N ,N ,N 
AMINO ACIDS ,PARENTERAL AMINO ACID 15% NO.1 ,,36,36,8056.54,,# ,,,,# ,,N ,N ,N ,N 
AMINOCAPROIC ACID ,AMINOCAPROIC ACID ,2219,6018,6439.1,4205855.53,2756,  ,4875,5237.6,3099214.37,  ,2226,N ,N ,N ,N 
AMINOPHYLLINE ,AMINOPHYLLINE ,11,20,20,215.53,16,# ,,,,# ,,N ,N ,N ,N 
AMINOSYN ,PARENTERAL AMINO ACID 10% NO.2 ,,27,27,2594.05,,  ,11,11,1270.37,* ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 10% NO.1 ,14,98,98,13951.96,12,  ,50,50,4514.35,* ,,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 15% NO.2 ,27,265,265,15550.06,28,  ,138,138,8079.61,  ,14,N ,N ,N ,N 
AMINOSYN II ,PARENTERAL AMINO ACID 8.5 % #3 ,,34,34,3646.57,,  ,34,34,3646.57,* ,,N ,N ,N ,N 
AMIODARONE HCL ,AMIODARONE HCL ,172229,2289564,3471711.9,50689490.10,529963,  ,2095343,3207555.3,46340793.00,  ,486302,N ,N ,N ,N 
AMITIZA ,LUBIPROSTONE ,68786,693041,790371,195747533.72,155579,  ,455009,525888.2,126088011.86,  ,104805,N ,N ,N ,N 
AMITRIPTYLINE HCL ,AMITRIPTYLINE HCL ,263037,4146141,6027850.1,49573941.28,805092,  ,2419587,3852413.5,28624662.26,  ,487236,N ,N ,Y ,N 
AMLODIPINE BESYLATE ,AMLODIPINE BESYLATE ,451350,36344166,60917213.8,303779660.77,6750062,  ,31581492,54274351.2,272051407.44,  ,5910495,N ,N ,N ,N 
AMLODIPINE BESYLATE-BENAZEPRIL ,AMLODIPINE BESYLATE/BENAZEPRIL ,147516,2594957,4397327,147479569.68,463251,  ,2303258,3990850.4,133299687.19,  ,414901,N ,N ,N ,N 
AMLODIPINE-ATORVASTATIN ,AMLODIPINE/ATORVASTATIN ,28989,151502,301952.7,49906556.88,33814,  ,143331,289155.7,47739436.76,  ,31944,N ,N ,N ,N 
AMLODIPINE-VALSARTAN ,AMLODIPINE/VALSARTAN ,26964,64872,103602.4,15499889.54,40473,  ,58280,94201.1,14059621.39,  ,36525,N ,N ,N ,N 
AMLODIPINE-VALSARTAN-HCTZ ,AMLODIPINE/VALSARTAN/HCTHIAZID ,3683,4158,6809.9,1053632.35,4119,  ,3527,5906.1,907910.52,  ,3492,N ,N ,N ,N 
AMMONIUM LACTATE ,AMMONIUM LACTATE ,79903,845255,888288.7,18852695.71,360490,  ,644376,680119.7,14308186.89,  ,282309,N ,N ,N ,N 
AMNESTEEM ,ISOTRETINOIN ,758,2198,2201,811207.04,740,  ,977,978,329294.13,  ,361,N ,N ,N ,N 
AMOX TR-POTASSIUM CLAVULANATE ,AMOXICILLIN/POTASSIUM CLAV ,478361,3551452,3560013,61713432.45,2710244,  ,2710440,2717595.2,46136767.41,  ,2090605,N ,Y ,N ,N 
AMOXAPINE ,AMOXAPINE ,2335,13660,18961.4,853599.13,2099,  ,9529,14304.3,588505.87,  ,1527,N ,N ,N ,N 
AMOXICILLIN ,AMOXICILLIN ,557614,6298980,6335483.7,31193739.34,4384899,  ,5078668,5111134.5,24470789.17,  ,3544149,N ,Y ,N ,N 
AMOXICILLIN-CLAVULANATE ER ,AMOXICILLIN/POTASSIUM CLAV ,14903,29641,29803,3061417.70,23941,  ,22656,22780.3,2298005.56,  ,18466,N ,Y ,N ,N 
AMPHETAMINE SALT COMBO ,DEXTROAMPHETAMINE/AMPHETAMINE ,74413,881569,917052.5,55807954.37,127077,  ,192147,209623.1,12238760.20,  ,34175,N ,N ,N ,N 
AMPHOTERICIN B ,AMPHOTERICIN B ,596,2010,2023.7,438764.57,835,  ,1388,1389.1,275293.30,  ,599,N ,N ,N ,N 
AMPICILLIN SODIUM ,AMPICILLIN SODIUM ,1850,8325,8326.3,1506329.49,1994,  ,6284,6285.3,1113045.57,  ,1537,N ,Y ,N ,N 
AMPICILLIN TRIHYDRATE ,AMPICILLIN TRIHYDRATE ,59314,178811,183969.1,1254608.50,126877,  ,150612,155188.2,1037711.77,  ,107343,N ,Y ,N ,N 
AMPICILLIN-SULBACTAM ,AMPICILLIN SODIUM/SULBACTAM NA ,2419,10775,10775.8,1329049.04,2793,  ,6571,6571.4,777022.50,  ,1872,N ,Y ,N ,N 
AMPYRA ,DALFAMPRIDINE ,4113,67738,82964.4,136148041.01,10522,  ,17221,22403.5,36759680.03,  ,2895,N ,N ,N ,N 
AMRIX ,CYCLOBENZAPRINE HCL ,2650,8779,10277.8,7779589.42,3172,  ,3247,4144.6,2967076.17,  ,1382,N ,N ,Y ,N 
AMTURNIDE ,ALISKIREN/AMLODIPIN/HCTHIAZIDE ,388,2025,3004.2,362690.25,346,  ,1814,2735.2,328776.89,  ,309,N ,N ,N ,N 
ANADROL-50 ,OXYMETHOLONE ,57,496,511.8,915519.83,85,  ,60,63.8,71980.83,  ,12,N ,N ,N ,N 
ANAFRANIL ,CLOMIPRAMINE HCL ,111,583,762.8,848256.71,96,  ,248,380.5,345512.75,  ,46,N ,N ,Y ,N 
ANAGRELIDE HCL ,ANAGRELIDE HCL ,6757,48924,70699.1,6968409.92,8533,  ,45488,66315.7,6328606.06,  ,7970,N ,N ,N ,N 
