Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
ALCAINE,PROPARACAINE HCL,,11,11.0,567.71,,*,,,,*,,0.00,315.66,N,N,N,N
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,12589,56938,58771.8,3485304.42,39421,,49480,51155.7,2996939.80,,35151,21401.25,916009.74,N,N,N,N
ALCOHOL PADS,ALCOHOL ANTISEPTIC PADS,32216,268197,383779.7,11266879.91,74239,,200413,290775.1,8299736.58,,55613,356851.53,555593.85,N,N,N,N
ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,77988,557894,988690.5,27241356.75,185581,,404402,719269.7,18994622.71,,133398,901755.77,1784242.24,N,N,N,N
ALCOHOL PREP SWABS,ALCOHOL ANTISEPTIC PADS,421,1599,1727.1,4836.66,524,,1249,1333.5,3670.51,,380,1014.31,223.98,N,N,N,N
ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,4157,19669,25906.2,61210.99,6470,,13618,18623.9,42396.39,,4559,10716.50,5954.94,N,N,N,N
ALCOHOL SWABS,ALCOHOL ANTISEPTIC PADS,24329,80570,126645.4,255372.46,38545,,52892,86039.5,164925.67,,25943,60282.18,32705.35,N,N,N,N
ALCOHOL WIPES,ALCOHOL ANTISEPTIC PADS,814,3611,4238.1,13466.38,1105,,2723,3206.1,9843.98,,803,2721.21,674.73,N,N,N,N
"ALCOHOL,DEHYDRATED",ETHYL ALCOHOL,,45,45.0,14811.14,,,0,0,0.00,,0,0.00,0.00,N,N,N,N
ALDACTAZIDE,SPIRONOLACT/HYDROCHLOROTHIAZID,645,2114,3768.3,346444.27,602,,1905,3491,318932.16,,540,2707.12,99052.80,N,N,N,N
ALDACTONE,SPIRONOLACTONE,927,3421,6433.0,640690.71,835,,3195,6009.2,575742.90,,765,2362.31,123376.77,N,N,N,N
ALDARA,IMIQUIMOD,86,159,179.5,158731.32,87,,128,148.5,140216.12,,68,485.41,15260.70,N,N,N,N
ALDURAZYME,LARONIDASE,,63,63.0,2541409.44,,,0,0,0.00,,0,21.80,0.00,N,N,N,N
ALECENSA,ALECTINIB HCL,424,1876,1910.7,22610414.77,420,,1485,1512,17783127.70,,336,1713.74,994605.05,N,N,N,N
ALENDRONATE SODIUM,ALENDRONATE SODIUM,257419,7601531,12905460.5,61185840.44,1652310,,6933123,11985802.7,56504599.27,,1528768,2667786.32,20957677.86,N,N,N,N
ALFUZOSIN HCL ER,ALFUZOSIN HCL,51041,588934,1116612.1,13036986.10,136296,,545817,1052415.5,12259795.15,,126887,142989.99,6059051.08,N,N,N,N
ALIMTA,PEMETREXED DISODIUM,180,1477,1477.0,7931648.12,284,,1241,1241,6772512.63,,246,5421.38,274442.50,N,N,N,N
ALINIA,NITAZOXANIDE,2769,6041,6130.4,7110254.80,4599,,4192,4245.7,4122514.55,,3386,9515.06,463076.12,N,N,N,N
ALKERAN,MELPHALAN,76,184,203.3,63364.47,69,#,,,,#,,346.25,11334.49,N,N,N,N
ALLEGRA-D 24 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,,11,11.0,1037.17,11,*,,,,*,,9.86,105.94,N,N,N,N
ALLOPURINOL,ALLOPURINOL,301301,8728721,16409092.9,146318879.79,1788649,,7685127,14802664.2,130935165.40,,1595778,2974466.92,39816908.92,N,N,N,N
ALLZITAL,BUTALBITAL/ACETAMINOPHEN,99,390,390.0,237725.17,199,,189,189,115015.32,,105,919.37,3008.46,N,N,N,N
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,1538,5330,5882.9,1827069.09,1403,,2800,3218.9,1041572.48,,845,2902.01,142276.80,N,N,N,N
ALOCRIL,NEDOCROMIL SODIUM,1211,3312,3731.5,744283.12,1658,,2855,3248.6,648456.22,,1462,4332.88,82681.68,N,N,N,N
ALOGLIPTIN,ALOGLIPTIN BENZOATE,1876,5410,7742.7,1443064.98,2053,,4619,6704.4,1248394.54,,1762,8294.74,284071.77,N,N,N,N
ALOGLIPTIN-METFORMIN,ALOGLIPTIN BENZ/METFORMIN HCL,568,1753,2428.5,427138.55,583,,1421,2034.5,353683.21,,481,2716.06,79257.68,N,N,N,N
ALOGLIPTIN-PIOGLITAZONE,ALOGLIPTIN BENZ/PIOGLITAZONE,1173,4475,6274.9,1182229.68,1357,,3549,4989.9,938748.31,,1068,5633.42,186927.60,N,N,N,N
ALOMIDE,LODOXAMIDE TROMETHAMINE,342,845,1170.3,157373.56,370,,686,999.8,133180.24,,315,769.60,38535.49,N,N,N,N
ALORA,ESTRADIOL,1670,6448,9299.3,834420.60,1581,,5041,7597.7,681653.99,,1242,7031.84,295000.53,N,N,N,N
ALOSETRON HCL,ALOSETRON HCL,1660,8259,9472.0,12571334.36,2040,,5758,6841,8678816.82,,1448,7608.34,781316.46,N,N,N,N
ALOXI,PALONOSETRON HCL,233,2142,2154.4,1679027.14,620,,1790,1802.4,1386655.38,,514,4787.63,76948.64,N,N,N,N
ALPHAGAN P,BRIMONIDINE TARTRATE,44718,872261,1215409.7,185739511.48,198171,,812251,1137956.8,173910102.93,,184828,1349621.15,28491090.98,N,N,N,N
ALPRAZOLAM,ALPRAZOLAM,379666,14577336,16020396.4,99825147.22,2685953,,9597175,10840099.7,67995903.84,,1992160,7482767.15,36644976.33,N,N,N,N
ALPRAZOLAM ER,ALPRAZOLAM,9939,53500,60306.9,1405113.25,11318,,26373,31301.7,652727.13,,6170,33411.34,400553.80,N,N,N,N
ALPRAZOLAM INTENSOL,ALPRAZOLAM,250,558,577.0,69743.26,237,,382,394,38213.33,,188,346.63,7263.62,N,N,N,N
ALPRAZOLAM ODT,ALPRAZOLAM,2852,7956,8816.5,773786.20,3023,,4817,5455.4,388708.26,,2097,5073.75,101441.58,N,N,N,N
ALPRAZOLAM XR,ALPRAZOLAM,5021,20296,24617.2,551611.81,5478,,11000,14409.7,295381.48,,3058,13135.87,149255.89,N,N,N,N
ALPROSTADIL,ALPROSTADIL,,29,29.0,6367.77,,,29,29,6367.77,*,,0.00,470.33,N,N,N,N
ALREX,LOTEPREDNOL ETABONATE,12035,53004,62188.2,12543928.17,24661,,47559,55919.9,11248481.99,,22347,66089.26,1664408.68,N,N,N,N
ALTABAX,RETAPAMULIN,848,1437,1477.0,478217.01,973,,1078,1110,318248.46,,771,2170.50,60733.43,N,N,N,N
ALTACE,RAMIPRIL,3050,13803,27473.1,5023403.98,2809,,13229,26503.3,4825200.30,,2701,10794.14,630427.60,N,N,N,N
ALTAVERA,LEVONORGESTREL-ETHIN ESTRADIOL,440,1863,2634.1,34675.50,399,,0,0,0.00,,0,2116.98,3270.08,N,N,N,N
ALTOPREV,LOVASTATIN,733,2406,4403.1,2497653.79,690,,2153,4097.1,2307426.56,,629,3151.27,128703.01,N,N,N,N
ALVESCO,CICLESONIDE,3590,19455,27307.8,7408397.23,4475,,17031,24387.9,6613545.57,,3945,16979.76,1525538.81,N,N,N,N
ALYACEN,NORETHINDRONE-ETHINYL ESTRAD,775,3626,4830.0,86714.43,700,,84,101.3,1823.17,,19,3458.56,6680.02,N,N,N,N
AMABELZ,ESTRADIOL/NORETHINDRONE ACET,290,301,791.8,62838.97,297,,286,751.6,59177.11,,282,11.80,20084.44,N,N,N,N
AMANTADINE,AMANTADINE HCL,46878,498159,635328.3,46670888.20,92567,,331798,437922.6,30730562.67,,64753,311710.45,6817194.37,N,N,N,N
AMARYL,GLIMEPIRIDE,1407,6107,10322.2,1485559.45,1305,,5784,9842.9,1406389.88,,1238,8112.86,246533.96,N,N,N,N
AMBIEN,ZOLPIDEM TARTRATE,5465,24951,29546.4,14169807.75,4962,,18610,22559.9,10627404.15,,3859,30767.67,1254364.16,N,N,N,N
AMBIEN CR,ZOLPIDEM TARTRATE,3698,18924,23351.4,9517151.72,3012,,11054,14375.4,5762720.21,,1924,32013.48,776492.35,N,N,N,N
AMBISOME,AMPHOTERICIN B LIPOSOME,82,448,449.0,836267.62,105,,204,205,265436.40,,53,246.35,34124.99,N,N,N,N
AMCINONIDE,AMCINONIDE,1065,2511,2743.3,680568.16,1327,,2138,2366.8,583608.90,,1177,1432.94,49086.52,N,N,N,N
AMERGE,NARATRIPTAN HCL,149,626,694.3,472217.26,130,,375,430.3,275165.69,,84,1514.55,33353.52,N,N,N,N
AMETHIA,L-NORGEST/E.ESTRADIOL-E.ESTRAD,845,1771,5305.7,247502.63,763,*,,,,*,,2606.96,11315.74,N,N,N,N
AMETHIA LO,L-NORGEST/E.ESTRADIOL-E.ESTRAD,204,474,1444.9,74729.50,179,*,,,,*,,705.93,5548.90,N,N,N,N
AMETHYST,LEVONORGESTREL-ETHIN ESTRADIOL,238,1212,1671.0,65142.31,201,*,,,,*,,1490.21,5030.66,N,N,N,N
AMICAR,AMINOCAPROIC ACID,1081,2480,2622.2,6581475.52,1143,,1806,1937.7,4433010.79,,859,5716.64,309398.29,N,N,N,N
AMIKACIN SULFATE,AMIKACIN SULFATE,3502,16720,16934.8,1659510.21,5862,,12603,12807.1,1186131.17,,4697,7963.89,199550.30,N,N,Y,N
AMILORIDE HCL,AMILORIDE HCL,17610,94295,159600.2,4036014.25,19565,,71025,128104.2,3125842.80,,15357,45833.35,1171724.21,N,N,N,N
AMILORIDE-HYDROCHLOROTHIAZIDE,AMILORIDE/HYDROCHLOROTHIAZIDE,17368,92151,195164.8,2237546.04,20286,,85586,184396.6,2107761.79,,19002,32187.65,904188.18,N,N,N,N
AMINO ACIDS,PARENTERAL AMINO ACID 15% NO.1,18,221,221.0,15463.89,19,,51,51,4128.50,#,,115.65,913.55,N,N,N,N
AMINOCAPROIC ACID,AMINOCAPROIC ACID,367,521,523.4,153245.08,377,,441,443.4,114601.30,,318,292.31,21783.11,N,N,N,N
AMINOPHYLLINE,AMINOPHYLLINE,,15,17.0,1848.64,,*,,,,*,,8.40,16.90,N,N,N,N
AMINOSYN,PARENTERAL AMINO ACID 10% NO.2,,26,26.0,7790.67,,,12,12,5271.03,*,,43.20,30.54,N,N,N,N
AMINOSYN II,PARENTERAL AMINO ACID 15% NO.2,,134,134.0,8924.52,,,71,71,3757.85,*,,414.10,0.00,N,N,N,N
AMIODARONE HCL,AMIODARONE HCL,188193,2618126,4144498.1,58011783.47,605242,,2403126,3839754.3,53850171.93,,556976,1022757.88,16785548.39,N,N,N,N
AMITIZA,LUBIPROSTONE,81713,835214,970103.7,270620626.05,187559,,541086,636928.1,172293760.41,,125417,1529744.91,13888330.28,N,N,N,N
AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,264056,3916826,5795896.0,87869604.68,762791,,2198772,3587570.4,48507666.47,,448681,2973839.95,22620861.60,N,N,N,N
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,483883,39852346,72137544.2,269060724.19,7790012,,34719513,64436463.7,243548852.53,,6847850,13772986.21,100136348.85,N,N,N,N
AMLODIPINE BESYLATE-BENAZEPRIL,AMLODIPINE BESYLATE/BENAZEPRIL,145363,2177610,4117873.3,77146577.11,419525,,1953596,3772506.9,70638600.93,,380243,978777.11,24960336.11,N,N,N,N
AMLODIPINE-ATORVASTATIN,AMLODIPINE/ATORVASTATIN,26007,127729,271911.8,36794335.59,28928,,121373,261571.2,35397199.50,,27535,48441.99,3229118.54,N,N,N,N
AMLODIPINE-OLMESARTAN,AMLODIPINE BES/OLMESARTAN MED,14470,24756,45918.8,5109673.06,19691,,22678,42613.8,4721970.82,,18091,11808.72,585365.88,N,N,N,N
AMLODIPINE-VALSARTAN,AMLODIPINE/VALSARTAN,50617,408671,725463.0,32208279.46,80720,,369059,665270.8,29245296.49,,73069,268396.96,5936826.21,N,N,N,N
AMLODIPINE-VALSARTAN-HCTZ,AMLODIPINE/VALSARTAN/HCTHIAZID,21052,130638,226363.7,24401066.63,27117,,112558,198677.3,21355307.33,,23353,115126.00,2638653.59,N,N,N,N
AMMONIUM LACTATE,AMMONIUM LACTATE,81295,883496,939174.8,21163479.00,370695,,686517,731823.6,16541871.37,,294291,503311.94,2294052.73,N,N,N,N
AMNESTEEM,ISOTRETINOIN,356,618,620.0,183211.88,349,,260,261,66583.93,,160,959.33,22233.94,N,N,N,N
AMOXAPINE,AMOXAPINE,2117,12156,17211.5,749675.66,1933,,8508,13021.5,526986.09,,1383,8362.18,147289.19,N,N,N,N
AMOXICILLIN,AMOXICILLIN,581359,6916304,6962218.2,31193694.54,4834010,,5693997,5735123.9,25425798.00,,3983803,2031201.79,16197228.81,N,N,Y,N
AMOXICILLIN-CLAVULANATE POT ER,AMOXICILLIN/POTASSIUM CLAV,11584,19411,19516.8,1971169.36,16087,,15144,15232.2,1517924.84,,12635,14891.19,460794.75,N,N,Y,N
AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,533321,4277251,4289305.6,61985550.48,3273371,,3332889,3343116.6,48173646.16,,2576775,2091066.19,24243466.37,N,N,Y,N
AMPHOTERICIN B,AMPHOTERICIN B,299,1410,1426.4,293970.76,433,,926,938.9,191919.09,,302,1511.84,37447.12,N,N,N,N
AMPICILLIN SODIUM,AMPICILLIN SODIUM,2238,11408,11408.3,2107816.12,2352,,8952,8952.1,1632992.33,,1843,8803.43,418882.30,N,N,Y,N
AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,58722,173770,180059.8,1211730.64,124625,,148148,153925.8,1027998.05,,106692,57561.08,492213.35,N,N,Y,N
AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,2643,11990,11992.2,1761353.42,3021,,7868,7869.8,1123533.62,,2073,14365.34,219741.89,N,N,Y,N
AMPYRA,DALFAMPRIDINE,4549,88399,102735.9,206271682.32,12595,,25212,31368,62789716.68,,3829,177069.92,6344090.46,N,N,N,N
AMRIX,CYCLOBENZAPRINE HCL,1798,6605,7558.4,7578683.48,1990,,2083,2595.9,2487424.17,,713,13103.45,170771.63,N,N,N,N
